NU_ANO_CENSO,NO_UF,NO_MUNICIPIO,NO_CURSO,QT_VG_TOTAL,QT_INSCRITO_TOTAL,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_0_17,QT_ING_18_24,QT_ING_25_29,QT_ING_30_34,QT_ING_35_39,QT_ING_40_49,QT_ING_50_59,QT_ING_60_MAIS,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_MAT,QT_MAT_FEM,QT_MAT_MASC,QT_MAT_0_17,QT_MAT_18_24,QT_MAT_25_29,QT_MAT_30_34,QT_MAT_35_39,QT_MAT_40_49,QT_MAT_50_59,QT_MAT_60_MAIS,QT_MAT_BRANCA,QT_MAT_PRETA,QT_MAT_PARDA,QT_MAT_AMARELA,QT_MAT_INDIGENA,QT_MAT_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_0_17,QT_CONC_18_24,QT_CONC_25_29,QT_CONC_30_34,QT_CONC_35_39,QT_CONC_40_49,QT_CONC_50_59,QT_CONC_60_MAIS,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND
2019,São Paulo,Amparo,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,100,54,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,30,3,27,0,24,4,1,0,1,0,0,25,0,2,0,0,3,14,1,13,0,11,2,1,0,0,0,0,13,0,1,0,0,0
2019,São Paulo,São Paulo,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,198,3,3,1,2,0,2,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2019,São Paulo,São Paulo,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,212,114,5,0,5,0,5,0,0,0,0,0,0,4,0,1,0,0,0,43,7,36,0,28,4,6,5,0,0,0,26,2,6,3,0,6,15,2,13,0,8,3,2,2,0,0,0,6,0,1,2,0,6
2019,São Paulo,Bauru,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,65,51,6,0,6,0,5,1,0,0,0,0,0,6,0,0,0,0,0,18,3,15,0,15,2,1,0,0,0,0,16,0,1,1,0,0,9,2,7,0,8,1,0,0,0,0,0,9,0,0,0,0,0
2019,São Paulo,São José do Rio Preto,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,100,9,7,0,7,0,4,1,2,0,0,0,0,5,1,1,0,0,0,24,1,23,0,15,4,4,1,0,0,0,21,1,2,0,0,0,6,1,5,0,3,2,0,1,0,0,0,6,0,0,0,0,0
2019,São Paulo,São Paulo,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,105,62,8,2,6,0,5,2,1,0,0,0,0,3,2,3,0,0,0,39,6,33,0,17,9,2,2,7,0,2,20,9,10,0,0,0,5,1,4,0,0,1,0,0,4,0,0,1,0,4,0,0,0
2019,São Paulo,Lins,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,50,24,9,3,6,0,5,0,3,1,0,0,0,3,0,0,0,0,6,26,3,23,0,13,6,5,1,1,0,0,9,3,1,0,0,13,11,1,10,0,5,3,1,1,1,0,0,6,3,0,0,0,2
2019,São Paulo,Santa Bárbara d'Oeste,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,9,32,9,3,6,0,5,1,2,1,0,0,0,5,0,1,1,1,1,4,1,3,0,1,0,2,0,1,0,0,2,0,1,0,0,1,4,1,3,0,1,0,2,0,1,0,0,2,0,1,0,0,1
2019,São Paulo,São Paulo,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,107,68,9,2,7,0,7,1,0,0,0,1,0,6,0,3,0,0,0,50,4,46,0,28,12,7,1,1,1,0,21,5,24,0,0,0,16,1,15,0,7,4,3,1,1,0,0,5,1,10,0,0,0
2019,São Paulo,São Paulo,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,30,24,9,2,7,0,7,2,0,0,0,0,0,5,0,4,0,0,0,21,3,18,0,13,6,0,1,1,0,0,10,1,10,0,0,0,7,1,6,0,4,2,0,0,1,0,0,4,1,2,0,0,0
2019,São Paulo,Jacareí,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,100,11,11,2,9,1,6,1,1,2,0,0,0,11,0,0,0,0,0,26,7,19,1,17,3,2,3,0,0,0,26,0,0,0,0,0,6,1,5,0,3,2,1,0,0,0,0,6,0,0,0,0,0
2019,São Paulo,São Paulo,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,100,64,15,1,14,0,8,2,2,2,1,0,0,8,2,5,0,0,0,8,1,7,0,4,0,2,2,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,São Paulo,São Paulo,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,140,140,17,0,17,0,16,0,1,0,0,0,0,4,8,2,0,1,2,18,0,18,0,16,0,2,0,0,0,0,4,8,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,São Paulo,Sorocaba,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,151,51,17,1,16,0,10,2,5,0,0,0,0,13,0,3,1,0,0,12,1,11,0,8,1,3,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,São Paulo,Santa Fé do Sul,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,60,51,18,2,16,0,17,1,0,0,0,0,0,2,5,0,0,0,11,46,5,41,0,41,4,1,0,0,0,0,5,9,0,0,0,32,17,1,16,0,14,3,0,0,0,0,0,2,4,0,0,0,11
2019,São Paulo,São José dos Campos,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,200,19,19,2,17,0,12,4,2,0,1,0,0,14,5,0,0,0,0,105,17,88,0,47,30,16,5,7,0,0,50,13,11,1,5,25,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2019,São Paulo,Dracena,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,100,29,20,1,19,0,15,5,0,0,0,0,0,16,2,2,0,0,0,41,5,36,0,31,9,1,0,0,0,0,29,1,9,1,0,1,7,0,7,0,7,0,0,0,0,0,0,5,0,2,0,0,0
2019,São Paulo,São José dos Campos,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,100,24,20,2,18,0,10,7,2,1,0,0,0,12,0,1,0,0,7,20,2,18,0,9,7,2,1,1,0,0,12,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,São Paulo,São Paulo,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,120,71,20,2,18,0,16,3,1,0,0,0,0,16,1,3,0,0,0,45,7,38,0,32,11,2,0,0,0,0,37,1,7,0,0,0,16,3,13,0,11,5,0,0,0,0,0,12,1,3,0,0,0
2019,São Paulo,Ribeirão Preto,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,120,50,21,3,18,0,13,3,3,2,0,0,0,16,0,4,0,0,1,27,4,23,0,18,4,3,2,0,0,0,18,0,4,0,0,5,5,1,4,0,4,1,0,0,0,0,0,2,0,0,0,0,3
2019,São Paulo,São Paulo,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,21,47,21,7,14,0,15,4,0,1,0,1,0,15,2,3,0,0,1,17,6,11,0,13,3,0,1,0,0,0,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,São Paulo,São José dos Campos,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,200,25,22,2,20,0,11,8,1,1,1,0,0,20,2,0,0,0,0,130,19,111,0,61,44,15,7,1,1,1,73,6,16,1,2,32,40,7,33,0,9,19,7,5,0,0,0,28,0,4,1,1,6
2019,São Paulo,São Paulo,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,200,102,22,2,20,0,14,1,4,2,0,1,0,12,2,7,0,0,1,16,1,15,0,13,1,1,1,0,0,0,7,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,São Paulo,Campinas,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,469,41,23,6,17,0,16,4,1,1,1,0,0,11,3,9,0,0,0,22,5,17,0,15,4,1,1,1,0,0,10,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,São Paulo,Campinas,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,313,88,24,5,19,0,9,5,6,3,1,0,0,17,1,6,0,0,0,42,6,36,0,17,10,9,5,1,0,0,32,4,6,0,0,0,4,0,4,0,3,0,0,1,0,0,0,2,1,1,0,0,0
2019,São Paulo,Avaré,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,153,56,27,6,21,0,21,5,0,0,1,0,0,19,3,2,3,0,0,67,13,54,0,57,7,0,2,1,0,0,54,4,4,4,0,1,6,2,4,0,6,0,0,0,0,0,0,5,0,1,0,0,0
2019,São Paulo,Limeira,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,172,58,27,1,26,0,21,3,2,1,0,0,0,13,0,2,0,0,12,71,5,66,0,51,11,6,2,1,0,0,33,3,7,0,0,28,13,1,12,0,7,3,2,1,0,0,0,3,0,3,0,0,7
2019,São Paulo,São João da Boa Vista,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,120,135,27,4,23,0,22,3,2,0,0,0,0,22,2,3,0,0,0,65,6,59,0,54,7,4,0,0,0,0,57,4,4,0,0,0,19,0,19,0,13,4,2,0,0,0,0,17,1,1,0,0,0
2019,São Paulo,São Paulo,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,60,60,28,10,18,0,14,5,5,2,2,0,0,12,3,13,0,0,0,41,12,29,0,18,7,6,5,5,0,0,18,3,17,0,1,2,12,2,10,0,3,3,1,2,3,0,0,5,1,4,0,0,2
2019,São Paulo,São José do Rio Pardo,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,230,77,29,2,27,0,26,2,0,0,1,0,0,4,1,3,0,0,21,18,1,17,0,18,0,0,0,0,0,0,0,0,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,São Paulo,Taubaté,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,40,30,29,0,29,0,22,7,0,0,0,0,0,26,1,2,0,0,0,37,2,35,0,24,9,3,0,1,0,0,31,1,4,0,0,1,3,1,2,0,0,2,1,0,0,0,0,3,0,0,0,0,0
2019,São Paulo,São Paulo,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,200,32,32,8,24,0,20,7,3,0,2,0,0,30,1,1,0,0,0,162,33,129,0,64,43,27,18,9,0,1,83,5,21,2,5,46,41,8,33,0,13,8,9,5,5,0,1,13,0,9,1,2,16
2019,São Paulo,Campinas,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,357,66,33,4,29,0,23,4,4,2,0,0,0,25,2,4,2,0,0,76,6,70,0,51,15,6,3,1,0,0,48,4,15,1,0,8,19,1,18,0,8,8,2,1,0,0,0,12,0,2,0,0,5
2019,São Paulo,Marília,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,85,96,33,3,30,0,29,3,1,0,0,0,0,22,5,6,0,0,0,88,14,74,0,64,15,5,2,2,0,0,57,6,21,4,0,0,21,4,17,0,14,5,0,1,1,0,0,18,0,3,0,0,0
2019,São Paulo,São Paulo,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,100,34,34,5,29,0,20,8,2,3,1,0,0,13,4,12,0,0,5,26,4,22,0,14,6,2,3,1,0,0,10,3,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,São Paulo,Sorocaba,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,50,91,34,8,26,0,24,6,4,0,0,0,0,11,0,1,0,0,22,29,6,23,0,20,5,4,0,0,0,0,10,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,São Paulo,São Paulo,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,214,100,35,4,31,0,28,5,1,1,0,0,0,18,3,14,0,0,0,109,13,96,0,72,17,10,6,3,1,0,70,4,32,0,0,3,31,3,28,0,21,4,3,2,1,0,0,21,1,8,0,0,1
2019,São Paulo,Ribeirão Preto,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,80,65,37,6,31,1,24,5,2,2,3,0,0,9,1,1,0,0,26,53,7,46,1,33,15,2,2,0,0,0,8,0,3,0,0,42,9,0,9,0,6,3,0,0,0,0,0,2,0,0,0,0,7
2019,São Paulo,Santo André,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,150,150,39,4,35,1,25,8,3,1,1,0,0,22,1,7,2,0,7,81,11,70,1,52,16,9,2,1,0,0,32,1,13,2,0,33,19,5,14,0,10,4,4,1,0,0,0,5,0,4,0,0,10
2019,São Paulo,Barretos,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,71,331,40,8,32,0,27,6,3,0,3,1,0,31,0,7,1,0,1,92,16,76,0,70,11,6,2,2,1,0,64,5,21,2,0,0,14,1,13,0,9,2,2,1,0,0,0,9,1,4,0,0,0
2019,São Paulo,São Vicente,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,52,52,40,7,33,0,25,7,4,2,1,1,0,14,3,13,0,0,10,94,14,80,0,55,19,10,7,2,1,0,45,8,27,0,0,14,26,4,22,0,16,6,1,3,0,0,0,17,3,4,0,0,2
2019,São Paulo,Capivari,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,50,248,41,11,30,0,28,8,4,0,1,0,0,29,0,12,0,0,0,95,12,83,0,71,12,5,2,3,2,0,60,5,28,0,1,1,9,0,9,0,8,1,0,0,0,0,0,5,1,3,0,0,0
2019,São Paulo,Santana de Parnaíba,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,40,121,41,3,38,0,24,7,2,1,5,2,0,14,1,20,0,0,6,37,3,34,0,21,7,2,1,5,1,0,13,1,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,São Paulo,São Paulo,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,182,182,41,8,33,0,29,2,3,3,3,1,0,7,2,2,0,0,30,71,11,60,0,47,6,8,4,3,3,0,18,3,5,0,0,45,13,1,12,0,8,0,3,1,0,1,0,8,1,2,0,0,2
2019,São Paulo,Caraguatatuba,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,43,330,43,10,33,0,36,3,2,1,0,1,0,24,2,14,2,0,1,127,28,99,0,88,18,9,4,5,3,0,64,9,35,4,1,14,17,5,12,0,8,4,4,0,1,0,0,8,1,2,1,0,5
2019,São Paulo,Araçatuba,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,89,274,44,3,41,0,40,3,1,0,0,0,0,32,2,9,0,0,1,66,3,63,0,53,11,1,1,0,0,0,46,4,12,3,0,1,15,2,13,0,8,6,0,1,0,0,0,9,0,4,2,0,0
2019,São Paulo,Catanduva,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,54,275,44,7,37,0,34,4,4,0,2,0,0,35,1,7,1,0,0,96,16,80,0,77,13,4,1,1,0,0,74,5,17,0,0,0,19,6,13,0,13,4,0,1,1,0,0,15,1,3,0,0,0
2019,São Paulo,Hortolândia,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,46,761,44,8,36,0,39,3,2,0,0,0,0,28,4,10,1,0,1,213,44,169,0,131,41,14,16,10,1,0,121,13,53,1,2,23,31,6,25,0,17,9,2,2,1,0,0,15,2,8,0,1,5
2019,São Paulo,Sorocaba,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,83,141,44,5,39,0,31,7,0,3,3,0,0,34,1,7,1,0,1,38,4,34,0,27,2,3,4,2,0,0,24,3,8,3,0,0,5,0,5,0,3,0,1,1,0,0,0,4,0,1,0,0,0
2019,São Paulo,Cubatão,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,50,532,45,4,41,0,31,4,4,1,4,1,0,25,5,13,1,0,1,183,38,145,0,116,26,14,8,15,4,0,93,15,68,2,2,3,40,12,28,0,24,6,5,0,4,1,0,21,6,12,0,1,0
2019,São Paulo,Votuporanga,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,45,253,45,5,40,1,35,5,2,1,0,1,0,27,4,11,2,0,1,96,18,78,1,79,10,4,1,0,1,0,66,7,19,1,0,3,15,3,12,0,14,1,0,0,0,0,0,10,1,4,0,0,0
2019,São Paulo,Registro,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,435,67,46,2,44,0,44,0,2,0,0,0,0,18,1,3,0,0,24,102,5,97,0,92,4,5,1,0,0,0,52,5,17,1,0,27,33,1,32,0,30,2,1,0,0,0,0,17,3,12,1,0,0
2019,São Paulo,São Paulo,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,49,1552,46,11,35,0,32,10,0,2,1,1,0,25,5,12,3,1,0,73,20,53,0,58,10,0,2,2,1,0,45,8,14,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,São Paulo,Osasco,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,480,78,47,11,36,0,29,8,6,1,2,1,0,23,3,12,1,0,8,56,9,47,0,34,11,8,1,1,1,0,29,1,16,1,0,9,18,3,15,0,10,4,3,1,0,0,0,11,0,5,0,0,2
2019,São Paulo,Boituva,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,75,293,49,6,43,0,38,3,5,2,1,0,0,41,2,6,0,0,0,93,16,77,0,64,13,9,4,2,1,0,69,3,19,0,1,1,11,4,7,0,7,1,2,1,0,0,0,10,0,0,0,0,1
2019,São Paulo,Caraguatatuba,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,90,171,49,3,46,0,39,2,4,1,3,0,0,27,3,18,1,0,0,86,7,79,0,71,6,5,2,2,0,0,48,6,30,2,0,0,23,2,21,0,17,4,1,1,0,0,0,13,1,9,0,0,0
2019,São Paulo,Jacareí,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,57,494,52,10,42,0,38,4,5,1,2,1,1,39,1,12,0,0,0,66,14,52,0,54,4,3,1,2,2,0,52,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
